Seed,Price (Regular),Price (Silver),Price (Gold),Price (Iridium),Growth Time (In Days),Purchase Source,Name,Season,Buy Price (Seed),Regrowth Time (In Days),XP,Regular (lvl 0),Silver (lvl 0),Gold (lvl 0),Regular (lvl 5),Silver (lvl 5),Gold (lvl 5),Regular (lvl 10),Silver (lvl 10),Gold (lvl 10)
Coffee Bean,15,18,22,30,10,"['Traveling Cart', 'Dust Sprite']",Coffee,"['Spring', 'Summer']",2500,2.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Corn Seeds,50,62,75,100,14,"[""Pierre's"", 'JojaMart']", Corn,"['Summer', 'Fall']",150,4.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Cranberry Seeds,75,93,112,150,7,"[""Pierre's"", 'JojaMart']", Cranberries,['Fall'],240,5.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Eggplant Seeds,60,75,90,120,5,"[""Pierre's"", 'JojaMart']", Eggplant,['Fall'],20,5.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Fairy Seeds,290,362,435,580,12,"[""Pierre's"", 'JojaMart']", Fairy Rose,['Fall'],200,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Garlic Seeds,60,75,90,120,4,"[""Pierre's""]", Garlic,['Spring'],40,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Grape Starter,80,100,120,160,10,"[""Pierre's"", 'JojaMart']", Grape,['Fall'],60,3.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Hops Starter,25,31,37,50,11,"[""Pierre's"", 'JojaMart']", Hops,['Summer'],60,1.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Jazz Seeds,50,62,75,100,7,"[""Pierre's"", 'JojaMart']", Blue Jazz,['Spring'],30,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Kale Seeds,110,137,165,220,6,"[""Pierre's"", 'JojaMart']", Kale,['Spring'],70,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Melon Seeds,250,312,375,500,12,"[""Pierre's"", 'JojaMart']", Melon,['Summer'],80,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Parsnip Seeds,35,43,52,70,4,"[""Pierre's"", 'JojaMart']", Parsnip,['Spring'],20,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Pepper Seeds,40,50,60,80,5,"[""Pierre's"", 'JojaMart']", Hot Pepper,['Summer'],40,3.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Poppy Seeds,140,175,210,280,7,"[""Pierre's"", 'JojaMart']", Poppy,['Summer'],100,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Potato Seeds,80,100,120,160,6,"[""Pierre's"", 'JojaMart']", Potato,['Spring'],50,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Powdermelon Seeds,60,75,90,120,7,['Foraging'], Powdermelon,['Winter'],0,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Pumpkin Seeds,320,400,480,640,13,"[""Pierre's"", 'JojaMart']", Pumpkin,['Fall'],100,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Radish Seeds,90,112,135,180,6,"[""Pierre's"", 'JojaMart']", Radish,['Summer'],40,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Red Cabbage Seeds,260,325,390,520,9,"[""Pierre's""]", Red Cabbage,['Summer'],100,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Rhubarb Seeds,220,275,330,440,13,['Oasis'], Rhubarb,['Spring'],100,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Rice Shoot,30,37,45,60,8,"[""Pierre's""]", Unmilled Rice,['Spring'],40,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Spangle Seeds,90,112,135,180,8,"[""Pierre's"", 'JojaMart']", Summer Spangle,['Summer'],50,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Starfruit Seeds,750,937,1125,1500,13,['Oasis'], Starfruit,['Summer'],400,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Strawberry Seeds,120,150,180,240,8,['Egg Festival'], Strawberry,['Spring'],100,4.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Summer Squash Seeds,45,56,67,90,6,['Foraging'], Summer Squash,['Summer'],0,3.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Sunflower Seeds,80,100,120,160,8,"[""Pierre's"", 'JojaMart']", Sunflower,"['Summer', 'Fall']",200,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Tomato Seeds,60,75,90,120,11,"[""Pierre's"", 'JojaMart']", Tomato,['Summer'],50,4.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Tulip Bulb,30,37,45,60,6,"[""Pierre's"", 'JojaMart']", Tulip,['Spring'],20,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Wheat Seeds,25,31,37,50,4,"[""Pierre's"", 'JojaMart']", Wheat,"['Summer', 'Fall']",10,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Yam Seeds,160,200,240,320,10,"[""Pierre's"", 'JojaMart']", Yam,['Fall'],60,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
